in:Index,out:↓ Highway visibility score,out:↓ Res  area visibility score,out:↑ Mountains visibility score,out:↑ Open view perc,out:↓ Privacy loss score,img_1,img_2,img_3,img_4,img_5,threeD
0,0.606416,0.438511,18.450704,32.949922,0.75971,Index0_Highway-view.png,Index0_Neighbor-view.png,Index0_Mountain view.png,Index0_Range-view.png,Index0_Privacy-view.png,Index0.json
1,0.588485,0.440141,17.183099,32.104851,1.451311,Index1_Highway-view.png,Index1_Neighbor-view.png,Index1_Mountain view.png,Index1_Range-view.png,Index1_Privacy-view.png,Index1.json
2,0.588485,0.440141,17.183099,32.104851,1.451311,Index1_Highway-view.png,Index1_Neighbor-view.png,Index1_Mountain view.png,Index1_Range-view.png,Index1_Privacy-view.png,Index1.json
3,0.629238,0.43525,17.464789,31.98748,1.987048,Index3_Highway-view.png,Index3_Neighbor-view.png,Index3_Mountain view.png,Index3_Range-view.png,Index3_Privacy-view.png,Index3.json
4,0.578704,0.445031,18.028169,32.331768,1.727953,Index4_Highway-view.png,Index4_Neighbor-view.png,Index4_Mountain view.png,Index4_Range-view.png,Index4_Privacy-view.png,Index4.json
5,0.599896,0.404278,15.821596,30.876369,1.075508,Index5_Highway-view.png,Index5_Neighbor-view.png,Index5_Mountain view.png,Index5_Range-view.png,Index5_Privacy-view.png,Index5.json
6,0.575443,0.353743,15.978091,30.438185,1.541961,Index6_Highway-view.png,Index6_Neighbor-view.png,Index6_Mountain view.png,Index6_Range-view.png,Index6_Privacy-view.png,Index6.json
7,0.625978,0.4271,18.215962,33.255086,0.871625,Index7_Highway-view.png,Index7_Neighbor-view.png,Index7_Mountain view.png,Index7_Range-view.png,Index7_Privacy-view.png,Index7.json
8,0.601526,0.423839,16.729264,31.815336,1.563752,Index8_Highway-view.png,Index8_Neighbor-view.png,Index8_Mountain view.png,Index8_Range-view.png,Index8_Privacy-view.png,Index8.json
9,0.497196,0.43362,17.605634,31.541471,1.336612,Index9_Highway-view.png,Index9_Neighbor-view.png,Index9_Mountain view.png,Index9_Range-view.png,Index9_Privacy-view.png,Index9.json
10,0.568923,0.378195,16.118936,30.907668,1.68034,Index10_Highway-view.png,Index10_Neighbor-view.png,Index10_Mountain view.png,Index10_Range-view.png,Index10_Privacy-view.png,Index10.json
11,0.528169,0.394497,16.964006,29.968701,2.789926,Index11_Highway-view.png,Index11_Neighbor-view.png,Index11_Mountain view.png,Index11_Range-view.png,Index11_Privacy-view.png,Index11.json
12,0.573813,0.443401,16.932707,32.902973,0.792976,Index12_Highway-view.png,Index12_Neighbor-view.png,Index12_Mountain view.png,Index12_Range-view.png,Index12_Privacy-view.png,Index12.json
