in:Index,out:↓ Privacy loss score,img
0,0.75971,Index0_Privacy-view.png
1,1.556095,Index1_Privacy-view.png
2,1.614123,Index2_Privacy-view.png
3,1.322965,Index3_Privacy-view.png
4,1.725101,Index4_Privacy-view.png
5,1.632201,Index5_Privacy-view.png
6,1.422357,Index6_Privacy-view.png
7,1.536857,Index7_Privacy-view.png
8,1.523274,Index8_Privacy-view.png
9,1.459449,Index9_Privacy-view.png
10,1.823852,Index10_Privacy-view.png
11,2.002174,Index11_Privacy-view.png
12,1.788023,Index12_Privacy-view.png
13,2.243889,Index13_Privacy-view.png
14,2.82482,Index14_Privacy-view.png
15,1.951731,Index15_Privacy-view.png
16,0,Index16_Privacy-view.png
17,1.372398,Index17_Privacy-view.png
18,2.373446,Index18_Privacy-view.png
19,2.1778,Index19_Privacy-view.png
20,0,Index20_Privacy-view.png
21,1.049654,Index21_Privacy-view.png
22,1.357993,Index22_Privacy-view.png
23,1.208628,Index23_Privacy-view.png
24,2.075521,Index24_Privacy-view.png
25,1.079331,Index25_Privacy-view.png
26,1.987127,Index26_Privacy-view.png
27,1.337701,Index27_Privacy-view.png
28,1.608259,Index28_Privacy-view.png
29,2.026605,Index29_Privacy-view.png
30,0.668329,Index30_Privacy-view.png
31,1.29862,Index31_Privacy-view.png
32,1.050638,Index32_Privacy-view.png
33,2.115836,Index33_Privacy-view.png
34,2.181837,Index34_Privacy-view.png
35,1.432502,Index35_Privacy-view.png
36,1.723232,Index36_Privacy-view.png
37,1.625278,Index37_Privacy-view.png
38,1.171026,Index38_Privacy-view.png
39,1.106361,Index39_Privacy-view.png
40,2.644106,Index40_Privacy-view.png
41,1.767448,Index41_Privacy-view.png
42,1.74387,Index42_Privacy-view.png
43,1.235336,Index43_Privacy-view.png
44,2.593015,Index44_Privacy-view.png
45,1.370896,Index45_Privacy-view.png
46,1.431039,Index46_Privacy-view.png
47,2.650119,Index47_Privacy-view.png
48,0.597871,Index48_Privacy-view.png
49,0.877111,Index49_Privacy-view.png
50,1.278039,Index50_Privacy-view.png
51,1.696777,Index51_Privacy-view.png
52,1.746247,Index52_Privacy-view.png
53,1.299077,Index53_Privacy-view.png
54,1.99006,Index54_Privacy-view.png
55,1.33775,Index55_Privacy-view.png
56,1.218605,Index56_Privacy-view.png
57,0,Index57_Privacy-view.png
58,2.54979,Index58_Privacy-view.png
59,1.118341,Index59_Privacy-view.png
60,0.591992,Index60_Privacy-view.png
61,2.362915,Index61_Privacy-view.png
62,1.548417,Index62_Privacy-view.png
63,1.465668,Index63_Privacy-view.png
64,1.42362,Index64_Privacy-view.png
65,3.281409,Index65_Privacy-view.png
66,2.855852,Index66_Privacy-view.png
67,2.686192,Index67_Privacy-view.png
68,1.220812,Index68_Privacy-view.png
69,1.928155,Index69_Privacy-view.png
70,1.489007,Index70_Privacy-view.png
71,1.954627,Index71_Privacy-view.png
72,1.914646,Index72_Privacy-view.png
73,2.470094,Index73_Privacy-view.png
74,2.035619,Index74_Privacy-view.png
75,1.04363,Index75_Privacy-view.png
76,1.375566,Index76_Privacy-view.png
77,1.356956,Index77_Privacy-view.png
78,1.880009,Index78_Privacy-view.png
79,2.877805,Index79_Privacy-view.png
80,1.403111,Index80_Privacy-view.png
81,1.849107,Index81_Privacy-view.png
82,1.811073,Index82_Privacy-view.png
83,3.335109,Index83_Privacy-view.png
84,0.943564,Index84_Privacy-view.png
85,1.638973,Index85_Privacy-view.png
86,1.161488,Index86_Privacy-view.png
87,0.928054,Index87_Privacy-view.png
88,1.299737,Index88_Privacy-view.png
89,2.671754,Index89_Privacy-view.png
90,1.807037,Index90_Privacy-view.png
91,1.095416,Index91_Privacy-view.png
92,1.632673,Index92_Privacy-view.png
93,1.298895,Index93_Privacy-view.png
94,2.48749,Index94_Privacy-view.png
95,2.273242,Index95_Privacy-view.png
96,2.610296,Index96_Privacy-view.png
97,0.929573,Index97_Privacy-view.png
98,1.045983,Index98_Privacy-view.png
99,1.111777,Index99_Privacy-view.png
100,1.284402,Index100_Privacy-view.png
101,1.515791,Index101_Privacy-view.png
102,1.262928,Index102_Privacy-view.png
103,1.82625,Index103_Privacy-view.png
104,2.397857,Index104_Privacy-view.png
105,2.418591,Index105_Privacy-view.png
106,1.549211,Index106_Privacy-view.png
107,1.313269,Index107_Privacy-view.png
108,2.519545,Index108_Privacy-view.png
109,1.383,Index109_Privacy-view.png
110,1.475124,Index110_Privacy-view.png
111,2.704796,Index111_Privacy-view.png
112,1.672412,Index112_Privacy-view.png
113,1.239734,Index113_Privacy-view.png
114,1.376784,Index114_Privacy-view.png
115,2.063141,Index115_Privacy-view.png
116,1.807281,Index116_Privacy-view.png
117,2.261937,Index117_Privacy-view.png
118,1.728062,Index118_Privacy-view.png
119,2.482865,Index119_Privacy-view.png
120,1.564134,Index120_Privacy-view.png
