in:Index,out:N  of Keys,out:Highway visibility,out:Res  area visibility,out:Mountains visibility,out:Open view perc,out:Privacy loss,img,threeD
0,105,1.322751,3.465608,17.333333,37.984127,0.187819,Index0_Top.png,Index0.json
1,117,1.510565,3.944088,16.980057,38.618234,0.20616,Index1_Top.png,Index1.json
2,123,1.081188,4.448961,17.235772,37.818428,0.291503,Index2_Top.png,Index2.json
3,3,1000,1000,0,-999,1000,Index3_Top.png,Index3.json
4,105,0.945767,3.809524,15.68254,38.793651,0.186233,Index4_Top.png,Index4.json
5,126,1.430225,4.183201,16.693122,38.002646,0.197955,Index5_Top.png,Index5.json
6,105,1.365741,3.630952,16.952381,36.126984,0.201923,Index6_Top.png,Index6.json
7,108,1.385674,4.475309,18.611111,36.157407,0.187524,Index7_Top.png,Index7.json
8,114,1.254873,4.148392,17.280702,37.616959,0.151469,Index8_Top.png,Index8.json
9,102,1.249319,3.479031,18.267974,38.70915,0.185786,Index9_Top.png,Index9.json
10,117,1.320632,4.591049,17.236467,38.034188,0.164137,Index10_Top.png,Index10.json
11,117,1.326567,4.362536,17.749288,37.792023,0.184737,Index11_Top.png,Index11.json
12,114,1.267057,4.1423,17.368421,37.52924,0.19,Index12_Top.png,Index12.json
13,114,0.95943,3.974781,17.192982,37.865497,0.206286,Index13_Top.png,Index13.json
14,114,1.465034,4.160575,18.128655,38.143275,0.199325,Index14_Top.png,Index14.json
15,114,1.324927,4.440789,17.251462,39.078947,0.185657,Index15_Top.png,Index15.json
16,102,1.065496,3.781999,15.718954,39.281046,0.170278,Index16_Top.png,Index16.json
17,108,1.385674,4.475309,18.611111,36.157407,0.187524,Index17_Top.png,Index17.json
18,117,1.267213,4.656339,17.264957,39.188034,0.220435,Index18_Top.png,Index18.json
19,108,1.077032,3.93197,16.635802,36.91358,0.198367,Index19_Top.png,Index19.json
20,108,1.218493,4.365998,17.777778,37.932099,0.220075,Index20_Top.png,Index20.json
21,114,1.136087,3.846857,17.719298,38.128655,0.194551,Index21_Top.png,Index21.json
22,102,1.051879,4.01348,16.013072,36.960784,0.191602,Index22_Top.png,Index22.json
23,111,1.460836,3.963338,16.906907,36.456456,0.194338,Index23_Top.png,Index23.json
24,120,1.264468,4.16088,16.111111,37.583333,0.179104,Index24_Top.png,Index24.json
25,111,1.37012,3.734985,16.366366,37.042042,0.180395,Index25_Top.png,Index25.json
26,111,1.08546,4.097848,17.987988,37.957958,0.175763,Index26_Top.png,Index26.json
27,114,1.349293,4.836745,17.953216,37.134503,0.188348,Index27_Top.png,Index27.json
28,108,1.012731,3.813014,16.111111,37.685185,0.195705,Index28_Top.png,Index28.json
29,114,1.282286,3.944323,16.783626,37.675439,0.193393,Index29_Top.png,Index29.json
30,108,1.359954,4.420653,16.604938,39.166667,0.179171,Index30_Top.png,Index30.json
31,111,1.542167,4.307432,17.027027,35.900901,0.219235,Index31_Top.png,Index31.json
32,111,1.363864,3.57545,17.267267,37.822823,0.196507,Index32_Top.png,Index32.json
